Symbol,Name,Price,"Assets
Suspect?","Rev.
Suspect?","PPE
Suspect?","ROE
Low?","No
Dopeler
Book
Value?","Dopeler
ROE
(Ave.)","Dopeler
ROE
(Lowball)","Dopeler
P/B","Dopeler
PE","Dopeler
Yield","Dopeler
Book
Value","Dopeler
EPS","Net
Liquidity/Share",Sector,Industry,"Assets
(billions,
SmartMoney)","Assets
(billions,
Yahoo)","Assets
Ratio
(dB)","Revenue
(billions,
SmartMoney)","Revenue
(billions,
Yahoo)","Revenue
Ratio
(dB)","PPE
Growth
(dB)","PPE
Growth
Std.
Dev
(dB)","Dopeler
ROE
(rel.
std.
dev.)","Dopeler
ROE (Y1)","Dopeler
ROE (Y2)","Dopeler
ROE (Y3)","Dopeler
ROE (Y4)"
HVB,Hudson Valley Holding Corp.,14.88,False,True,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Finance,Major Banks,2.891246,2.79767,0.143,None,0.147517,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HGT,Hugoton Royalty Trust,8.39,False,False,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00,Energy,Oil & Gas Production,0.118965,0.118966,0.000,0.056566,0.056565,0.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HUM,Humana Inc.,75.35,False,False,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Health Care,Medical Specialities,17.708,17.708,0.000,36.832,36.832,0.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HII,"Huntington Ingalls Industries, Inc.",44.53,False,False,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-84.97,Capital Goods,Marine Transportation,6.001,6.001,0.000,6.575,6.575,0.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HUN,Huntsman Corporation,18.08,False,False,False,True,True,0.016,-0.105,N/A,93.4,0.011,-21.62,0.476,-26.38,Basic Industries,Major Chemicals,8.657,8.657,0.000,11.221,11.221,0.000,0.158,0.107,6.589,-0.029,-0.105,0.141,0.057
H,Hyatt Hotels Corporation,40.23,False,False,False,True,True,-0.023,-0.049,N/A,N/A,N/A,-17.78,-0.858,-9.19,Consumer Services,Hotels/Resorts,7.507,7.507,0.000,3.698,3.698,0.000,0.183,0.244,0.960,-0.033,-0.012,-0.049,0.001
HDY,HyperDynamics Corporation,0.528,False,True,True,True,True,-2.928,-4.520,N/A,N/A,N/A,-27.64,-2.770,0.06,Energy,Oil & Gas Production,0.102796,0.102796,0.000,0.0,None,N/A,2.814,10.080,1.592,-0.424,-9.910,-0.948,-0.431
HY,"Hyster-Yale Materials Handling, Inc.",51.1,True,True,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-37.84,Capital Goods,Construction/Ag Equipment/Trucks,1.117,None,N/A,2.5408,None,N/A,N/A,N/A,N/A,0.043,N/A,N/A,N/A
IBN,ICICI Bank Limited,47.76,True,True,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Finance,Commercial Banks,6046.293722,119.692312,17.034,None,13.812021,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
IDA,"IDACORP, Inc.",46.75,False,False,False,True,True,-0.042,-0.062,N/A,N/A,N/A,-107.74,-4.252,-65.22,Public Utilities,Electric Utilities: Central,4.960609,4.960609,0.000,1.017162,1.026756,0.041,0.237,0.047,0.366,-0.046,-0.032,-0.028,-0.062
IDT,IDT Corporation,10.34,False,False,False,True,True,-0.091,-0.243,N/A,N/A,N/A,-33.29,-2.522,-8.07,Public Utilities,Telecommunications Equipment,0.451114,0.451114,0.000,1.506836,1.506836,0.000,-0.165,0.255,1.224,-0.103,-0.010,-0.007,-0.243
CTC,IFM Investments Limited,3.48,False,False,False,True,True,-0.988,-2.635,N/A,N/A,N/A,-13.68,-1.371,0.03,Finance,Real Estate,0.115197,0.115199,0.000,0.093767,0.096053,0.105,1.191,0.982,2.695,-2.599,-1.668,2.950,-2.635
ITW,Illinois Tool Works Inc.,62.9,False,False,True,False,True,0.335,0.271,N/A,N/A,N/A,N/A,1.441,N/A,Technology,Industrial Machinery/Components,19.309,17.983514,0.309,17.924,17.786583,0.033,-1.133,2.480,0.189,0.422,0.325,0.271,0.322
IMAX,Imax Corporation,24.55,False,False,False,True,True,-0.061,-0.159,N/A,N/A,N/A,-5.25,-0.226,-2.99,Miscellaneous,Industrial Machinery/Components,0.413649,0.406236,0.079,0.234045,0.236556,0.046,0.821,0.661,1.150,-0.020,-0.059,-0.004,-0.159
IFT,"Imperial Holdings, Inc.",4.17,False,False,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-1.60,Finance,Life Insurance,0.222599,0.222599,0.000,0.039191,0.039191,0.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
IMPV,"Imperva, Inc.",35.0,False,False,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.84,Technology,Computer Software: Prepackaged Software,0.133542,0.133542,0.000,0.078302,0.078302,0.000,N/A,N/A,N/A,-0.851,-0.204,N/A,N/A
IHC,Independence Holding Company,9.89,False,False,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Finance,Life Insurance,1.358859,1.358859,0.000,0.419519,0.417996,0.016,N/A,N/A,N/A,N/A,N/A,N/A,N/A
IBA,"Industrias Bachoco, S.A. de C.V.",27.8,True,True,False,True,True,-0.038,-0.116,N/A,N/A,N/A,-247.47,-15.766,-89.81,Consumer Non-Durables,Meat/Poultry/Fish,23.793894,1.660286,11.563,27.73499,1.987409,11.447,0.159,0.096,2.207,-0.098,0.063,-0.002,-0.116
NRGM,"Inergy Midstream, L.P.",23.67,False,False,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-6.29,Public Utilities,Natural Gas Distribution,1.0279,1.0279,0.000,0.1898,0.1898,0.000,N/A,N/A,N/A,0.064,0.068,0.072,N/A
NRGY,"Inergy, L.P.",20.25,False,False,True,True,True,0.015,-0.032,N/A,113.7,0.009,-4.81,0.242,-7.22,Consumer Services,Other Consumer Services,2.2076,2.2076,0.000,2.0068,2.0068,0.000,0.573,1.129,3.413,-0.008,-0.032,0.013,0.088
BLOX,Infoblox Inc.,18.9,False,False,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.18,Technology,EDP Services,0.242983,0.242983,0.000,0.169246,0.169246,0.000,N/A,N/A,N/A,1.732,2.695,N/A,N/A
IDG,"ING Group, N.V.",25.36,True,True,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Finance,Life Insurance,None,None,N/A,None,None,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
IGK,"ING Group, N.V.",26.0,True,True,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Finance,Life Insurance,None,None,N/A,None,None,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
IND,"ING Group, N.V.",25.35,True,True,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Finance,Life Insurance,None,None,N/A,None,None,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ING,"ING Group, N.V.",9.97,False,False,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Finance,Life Insurance,1267.71,1667.352,1.190,102.674,72.836,1.491,N/A,N/A,N/A,N/A,N/A,N/A,N/A
INZ,"ING Group, N.V.",25.39,True,True,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Finance,Life Insurance,None,None,N/A,None,None,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ISF,"ING Group, N.V.",24.85,True,True,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Finance,Life Insurance,None,None,N/A,None,None,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ISG,"ING Group, N.V.",24.75,True,True,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Finance,Life Insurance,None,None,N/A,None,None,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ISP,"ING Group, N.V.",24.77,True,True,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Finance,Life Insurance,None,None,N/A,None,None,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
IR,Ingersoll-Rand plc (Ireland),52.36,False,False,True,True,True,0.244,-0.031,N/A,34.8,0.029,-10.01,2.513,-35.14,Capital Goods,Auto Parts:O.E.M.,18.7542,18.7542,0.000,14.782,14.782,0.000,0.603,1.143,0.917,0.322,0.187,0.498,-0.031
IM,Ingram Micro Inc.,18.24,False,False,False,False,True,0.411,0.256,N/A,20.6,0.049,-8.24,2.494,-33.18,Technology,Retail: Computer Software & Peripheral Equipment,9.146516,9.146516,0.000,36.328701,36.328701,0.000,0.214,0.235,0.441,0.435,0.256,0.295,0.657
INGR,Ingredion Incorporated,65.1,False,False,False,True,True,0.008,-0.086,N/A,214.9,0.005,-31.63,0.472,-36.35,Consumer Non-Durables,Packaged Foods,5.317,5.317,0.000,6.219,6.219,0.000,0.279,0.377,9.316,0.003,0.028,0.086,-0.086
IRC,Inland Real Estate Corporation,9.25,False,False,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-9.09,Consumer Services,Real Estate Investment Trusts,1.159906,1.159906,0.000,0.169856,0.167226,0.068,N/A,N/A,N/A,N/A,N/A,N/A,N/A
IPHI,Inphi Corporation,8.47,False,False,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.65,Technology,Semiconductors,0.172628,0.172628,0.000,0.079297,0.079297,0.000,N/A,N/A,N/A,0.343,-0.241,0.754,N/A
TEG,Integrys Energy Group,55.46,False,False,False,True,True,0.004,-0.128,N/A,306.6,0.003,-83.98,0.470,-88.68,Public Utilities,Power Generation,9.9832,9.9832,0.000,4.7831,4.7087,0.068,0.164,0.075,23.194,0.008,0.012,0.126,-0.128
IHG,Intercontinental Hotels Group,29.74,False,True,False,True,True,0.099,-0.035,N/A,73.4,0.014,-0.21,0.472,-4.93,Consumer Services,Hotels/Resorts,1.909787,2.968,1.915,1.102883,1.768,2.050,0.081,0.652,0.980,0.111,0.123,-0.035,0.197
ICE,"IntercontinentalExchange, Inc.",140.88,False,False,False,False,True,3.240,3.129,N/A,37.9,0.026,-287.94,15.362,-441.56,Finance,Investment Bankers/Brokers/Service,36.147864,36.147864,0.000,1.327491,1.327491,0.000,0.956,0.342,0.111,3.094,2.887,3.248,3.732
IBM,International Business Machines Corporation,205.18,False,False,False,False,True,0.530,0.517,N/A,N/A,N/A,N/A,19.003,N/A,Technology,Computer Manufacturing,119.213,116.433,0.102,104.507,106.916,0.099,0.057,0.061,0.041,0.520,0.520,0.517,0.563
IP,International Paper Company,42.35,False,False,True,True,True,0.007,-0.041,N/A,N/A,N/A,N/A,0.232,N/A,Basic Industries,Paper,32.153,26.993,0.760,27.833,26.034,0.290,-0.799,1.662,6.516,0.006,-0.006,-0.041,0.069
IRF,International Rectifier Corporation,20.15,False,False,False,True,True,-0.052,-0.100,N/A,N/A,N/A,-8.68,-1.034,1.66,Technology,Semiconductors,1.531823,1.531823,0.000,1.050588,1.050588,0.000,0.051,0.423,1.116,-0.082,0.031,-0.100,-0.059
ISH,International Shipholding Corporation,19.86,False,False,False,True,True,0.029,-0.002,N/A,28.2,0.035,-26.38,2.540,-51.79,Transportation,Marine Transportation,0.665579,0.665579,0.000,0.262762,0.263196,0.007,0.447,0.785,1.236,-0.002,0.059,0.060,-0.002
IOC,InterOil Corporation,58.09,False,False,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-4.73,Energy,Oil & Gas Production,1.088354,0.965489,0.520,1.106533,0.806844,1.372,N/A,N/A,N/A,N/A,N/A,N/A,N/A
IPG,"Interpublic Group of Companies, Inc. (The)",12.25,False,False,False,False,True,0.373,0.190,N/A,22.5,0.044,-4.93,1.371,-18.64,Technology,Advertising,12.8766,12.8766,0.000,7.0146,7.0146,0.000,-0.081,0.106,0.427,0.190,0.514,0.290,0.498
IL,"IntraLinks Holdings, Inc.",6.47,False,False,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-2.10,Technology,Computer Software: Prepackaged Software,0.530341,0.530341,0.000,0.213504,0.213504,0.000,N/A,N/A,N/A,2.751,2.174,0.997,N/A
IPI,"Intrepid Potash, Inc",23.33,False,False,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.45,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),0.93287,0.93287,0.000,0.442954,0.442954,0.000,N/A,N/A,N/A,0.520,0.403,0.484,N/A
INVN,"InvenSense, Inc.",14.34,False,False,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.70,Technology,Semiconductors,0.193318,0.193318,0.000,0.152967,0.152967,0.000,N/A,N/A,N/A,7.513,2.730,N/A,N/A
IVR,INVESCO MORTGAGE CAPITAL INC,21.65,False,True,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-94.30,Consumer Services,Real Estate Investment Trusts,14.772167,14.772167,0.000,0.469619,None,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
IVZ,Invesco Plc,27.77,False,False,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Finance,Investment Managers,17.4924,19.347,0.438,4.0876,4.0922,0.005,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ITG,"Investment Technology Group, Inc.",10.43,False,False,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-38.99,Finance,Investment Bankers/Brokers/Service,2.196759,2.178069,0.037,0.504436,0.570012,0.531,N/A,N/A,N/A,N/A,N/A,N/A,N/A
IRET,Investors Real Estate Trust,9.44,False,False,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-12.16,Consumer Services,Real Estate Investment Trusts,1.714367,1.714367,0.000,0.241788,0.241788,0.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
IRM,Iron Mountain Incorporated,34.51,True,True,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Consumer Services,Office Equipment/Supplies/Services,None,6.041258,N/A,None,3.014703,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
IRS,IRSA Inversiones Y Representaciones S.A.,8.71,True,True,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-60.86,Consumer Services,Homebuilding,6.964032,1.459091,6.788,1.610641,0.34645,6.674,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ISS,iSoftStone Holdings Limited,5.4,False,False,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.34,Technology,EDP Services,0.378052,0.378056,0.000,0.283374,0.283417,0.001,N/A,N/A,N/A,-0.105,-0.034,-1.366,N/A
SFI,iStar Financial Inc.,9.81,False,False,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-66.41,Consumer Services,Real Estate Investment Trusts,7.517837,7.517837,0.000,0.432789,0.432789,0.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SFI^D,iStar Financial Inc.,24.5699,True,True,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Consumer Services,Real Estate Investment Trusts,None,None,N/A,None,None,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ITUB,Itau Unibanco Banco Holding SA,17.15,True,True,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Finance,Major Banks,851.331535,438.62,2.880,None,79.165,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ITC,ITC Holdings Corp.,82.27,False,False,False,True,True,0.015,-0.008,N/A,113.9,0.009,-54.84,1.320,-68.04,Public Utilities,Electric Utilities: Central,4.823366,4.823366,0.000,0.757397,0.757397,0.000,0.526,0.073,1.382,0.019,0.041,0.007,-0.008
ITT,ITT Corporation,26.07,False,False,True,True,True,0.133,-0.178,N/A,34.2,0.029,-9.82,1.485,-24.67,Capital Goods,Fluid Controls,3.671,3.671,0.000,2.119,2.119,0.000,-1.015,2.336,2.635,-0.163,-0.178,0.434,0.440
JPM,J P Morgan Chase & Co,47.85,False,True,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Finance,Major Banks,2359.141,2265.792,0.175,None,97.234,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
JPM^J,J P Morgan Chase & Co,25.84,True,True,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Finance,Major Banks,None,None,N/A,None,None,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
JCP,"J.C. Penney Company, Inc. Holding Company",19.88,False,False,False,True,True,0.055,-0.008,N/A,22.8,0.044,-6.44,2.050,-26.94,Consumer Services,Department/Specialty Retail Stores,11.424,11.424,0.000,17.26,17.26,0.000,0.137,0.161,1.258,-0.008,-0.001,0.122,0.109
JAG,Jaguar Mining Inc,0.7851,False,False,True,True,True,-0.007,-0.079,N/A,N/A,N/A,-4.91,-0.050,-4.42,Basic Industries,Precious Metals,0.693794,0.660666,0.212,0.240556,0.243137,0.046,1.544,1.058,10.192,0.054,-0.047,0.045,-0.079
JHX,James Hardie Industries plc.,52.4701,False,False,False,True,True,0.042,-0.153,N/A,121.7,0.008,-13.03,0.587,-18.90,Capital Goods,Building Materials,2.229837,2.31,0.153,1.184987,1.2375,0.188,-0.044,0.922,5.710,-0.153,0.372,0.078,-0.126
JNS,"Janus Capital Group, Inc",9.37,False,False,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Finance,Investment Managers,2.6604,2.644,0.027,0.8611,0.9309,0.338,N/A,N/A,N/A,N/A,N/A,N/A,N/A
JMI,Javelin Mortgage Investment Corp.,19.69,True,True,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Consumer Services,Real Estate Investment Trusts,None,None,N/A,None,None,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
JEF,"Jefferies Group, Inc.",19.95,False,False,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-126.28,Finance,Investment Bankers/Brokers/Service,36.293541,36.293541,0.000,3.680405,2.955901,0.952,N/A,N/A,N/A,N/A,N/A,N/A,N/A
JKS,JinkoSolar Holding Company Limited,7.53,False,False,True,True,True,-0.813,-2.582,N/A,N/A,N/A,-290.56,-25.334,-37.22,Technology,Semiconductors,1.457946,1.45796,0.000,1.145405,1.173332,0.105,4.357,1.768,1.769,-0.419,0.367,-0.293,-2.907
JMP,JMP Group Inc,6.61,False,False,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-15.94,Finance,Investment Bankers/Brokers/Service,0.660621,0.660621,0.000,0.149052,0.111361,1.266,N/A,N/A,N/A,N/A,N/A,N/A,N/A
JBT,John Bean Technologies Corporation,18.58,False,False,False,True,True,0.098,0.013,N/A,29.7,0.034,-5.30,1.211,-17.40,Technology,Industrial Machinery/Components,0.5922,0.5922,0.000,0.9514,0.9558,0.020,0.066,0.252,0.892,0.048,0.013,0.122,0.211
JW.A,"John Wiley & Sons, Inc.",38.8,True,True,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Consumer Services,Books,None,None,N/A,None,None,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
JW.B,"John Wiley & Sons, Inc.",38.36,True,True,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Consumer Services,Books,None,None,N/A,None,None,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
JNJ,Johnson & Johnson,74.18,False,False,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-8.77,Consumer Durables,Major Pharmaceuticals,113.644,113.644,0.000,67.224,65.03,0.144,N/A,N/A,N/A,0.477,0.552,0.637,N/A
JCI,"Johnson Controls, Inc.",31.24,False,False,False,True,True,0.046,-0.002,N/A,68.2,0.015,-18.71,0.858,-27.29,Consumer Durables,Industrial Specialties,30.884,30.884,0.000,41.955,41.955,0.000,0.284,0.393,0.759,0.057,0.050,0.081,-0.002
JLL,Jones Lang LaSalle Incorporated,95.1,False,False,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Finance,Real Estate,4.351499,3.932636,0.440,3.93283,3.584544,0.403,N/A,N/A,N/A,N/A,N/A,N/A,N/A
JRN,"Journal Communications, Inc.",5.59,False,False,False,True,True,0.010,-0.177,N/A,120.2,0.008,-3.32,0.081,-4.13,Consumer Services,Newspapers/Magazines,0.417725,0.417725,0.000,0.356793,0.356793,0.000,-0.095,0.252,12.620,0.046,0.099,0.072,-0.177
JNPR,"Juniper Networks, Inc.",22.32,False,False,True,False,True,0.882,0.576,N/A,N/A,N/A,N/A,1.389,N/A,Technology,Computer Communications Equipment,9.8321,9.98382,0.067,4.3654,4.448709,0.082,-0.003,1.273,0.306,0.493,0.964,0.953,1.119
KAMN,Kaman Corporation,36.21,False,False,False,True,True,0.183,-0.037,N/A,33.7,0.030,-5.38,1.754,-22.92,Consumer Durables,Industrial Specialties,0.996398,0.996398,0.000,1.498153,1.498153,0.000,0.480,0.178,0.880,0.223,0.196,0.349,-0.037
KSU,Kansas City Southern,94.34,False,False,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-27.70,Transportation,Railroads,6.173,6.173,0.000,2.2386,2.0983,0.281,N/A,N/A,N/A,0.041,0.004,-0.029,N/A
KSU^,Kansas City Southern,25.75,True,True,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Transportation,Railroads,None,None,N/A,None,None,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
KAR,"KAR Auction Services, Inc",21.69,False,False,False,False,True,0.250,0.131,N/A,24.0,0.042,-5.18,1.919,-24.37,Consumer Durables,Automotive Aftermarket,4.7791,4.7791,0.000,1.8863,1.8863,0.000,0.243,0.059,0.533,0.230,0.440,0.199,0.131
KB,KB Financial Group Inc,35.68,True,True,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Finance,Commercial Banks,277600.817,240.973,30.615,None,15.471,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
KBH,KB Home,18.52,False,False,True,True,True,-0.411,-3.321,N/A,N/A,N/A,-22.35,-0.141,-20.95,Capital Goods,Homebuilding,2.561698,2.561698,0.000,1.560115,1.560115,0.000,-0.760,3.998,6.092,0.463,-3.321,-1.326,2.541
KBW,KBW Inc,16.13,False,False,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.01,Finance,Investment Bankers/Brokers/Service,0.520121,0.519099,0.009,0.264511,0.264511,0.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
KEM,Kemet Corporation,5.62,False,False,False,True,True,-0.036,-0.098,N/A,N/A,N/A,-17.59,-0.855,-9.04,Capital Goods,Electrical Products,0.975552,0.975552,0.000,0.984833,0.984833,0.000,-0.070,0.414,1.328,-0.022,0.016,-0.039,-0.098
KMPR,Kemper Corporation,33.63,False,False,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Finance,Property-Casualty Insurers,8.0859,8.0859,0.000,2.4967,2.495,0.003,N/A,N/A,N/A,N/A,N/A,N/A,N/A
KMT,Kennametal Inc.,41.55,False,False,False,True,True,0.052,0.003,N/A,49.6,0.020,-4.15,1.154,-15.69,Capital Goods,Industrial Machinery/Components,3.034188,3.034188,0.000,2.736246,2.736246,0.000,0.011,0.259,0.989,0.108,0.081,0.014,0.003
KW,Kennedy-Wilson Holdings Inc.,14.98,False,False,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-4.21,Finance,Real Estate,0.820744,0.792776,0.151,0.070519,0.062633,0.515,N/A,N/A,N/A,-0.189,N/A,N/A,N/A
KWN,Kennedy-Wilson Holdings Inc.,25.19,True,True,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Finance,Real Estate,None,0.133263,N/A,None,0.027094,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
KEG,"Key Energy Services, Inc.",8.21,False,False,False,True,True,0.034,-0.050,N/A,34.5,0.029,-3.96,0.497,-8.93,Energy,Oilfield Services/Equipment,2.59912,2.59912,0.000,1.846883,1.846883,0.000,0.361,0.513,3.215,0.035,-0.037,-0.050,0.187
KEY,KeyCorp,9.47,False,True,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Finance,Major Banks,89.236,88.785,0.022,None,4.697,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
KID,"Kid Brands, Inc.",1.6,False,False,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-4.61,Consumer Durables,Miscellaneous manufacturing industries,0.192846,0.192846,0.000,0.25261,0.25261,0.000,N/A,N/A,N/A,2.356,-0.478,0.100,N/A
KRC,Kilroy Realty Corporation,50.1,False,False,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-30.80,Consumer Services,Real Estate Investment Trusts,4.616084,3.446795,1.269,0.404912,0.367131,0.425,N/A,N/A,N/A,N/A,N/A,N/A,N/A
KMB,Kimberly-Clark Corporation,90.01,False,False,True,True,True,0.116,0.065,N/A,N/A,N/A,N/A,N/A,N/A,Consumer Durables,Containers/Packaging,19.873,19.373,0.111,21.063,20.846,0.045,N/A,N/A,0.369,0.122,0.065,0.109,0.169
KIM,Kimco Realty Corporation,21.05,True,False,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-13.01,Consumer Services,Real Estate Investment Trusts,9.614516,None,N/A,0.932854,0.873694,0.285,N/A,N/A,N/A,N/A,N/A,N/A,N/A
KMP,"Kinder Morgan Energy Partners, L.P.",88.92,False,False,True,True,True,0.035,0.023,N/A,N/A,N/A,N/A,N/A,N/A,Public Utilities,Natural Gas Distribution,32.129,24.1027,1.248,8.642,8.2112,0.222,N/A,N/A,0.285,0.041,0.031,0.023,0.045
KMR,"Kinder Morgan Management, LLC",82.46,False,True,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-1.98,Energy,Natural Gas Distribution,2.7323,2.7323,0.000,0.0,None,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
KMI,"Kinder Morgan, Inc.",37.49,True,False,False,True,True,0.006,-0.007,N/A,N/A,N/A,N/A,0.192,N/A,Public Utilities,Natural Gas Distribution,68.52,30.717,3.484,9.973,8.2649,0.816,0.653,0.598,1.774,0.018,0.014,-0.007,0.001
KND,"Kindred Healthcare, Inc.",10.88,False,False,False,True,True,0.055,-0.016,N/A,30.1,0.033,-30.12,2.038,-50.50,Health Care,Hospital/Nursing Management,4.138493,4.138493,0.000,5.521763,5.521763,0.000,0.518,0.112,0.904,-0.016,0.061,0.096,0.080
KFS,"Kingsway Financial Services, Inc.",4.16,False,False,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Finance,Property-Casualty Insurers,0.417286,0.374081,0.475,0.200519,0.228547,0.568,N/A,N/A,N/A,N/A,N/A,N/A,N/A
KGC,Kinross Gold Corporation,8.31,False,False,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-1.93,Basic Industries,Precious Metals,16.508799,16.5088,0.000,3.962829,3.9433,0.021,N/A,N/A,N/A,N/A,0.108,0.056,0.032
KEX,Kirby Corporation,70.58,True,False,True,True,True,0.074,-0.051,N/A,N/A,N/A,N/A,N/A,N/A,Consumer Services,Marine Transportation,None,2.960411,N/A,2.112658,1.850417,0.576,N/A,N/A,1.184,-0.051,0.126,0.079,0.140
